id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
59,AYHK,medium_airport,Hoskins Airport,-5.463846,150.407327,66.0,OC,PG,PG-WBK,Kimbe,yes,AYHK,HKN,AYHK,,,https://en.wikipedia.org/wiki/Hoskins_Airport,
60,AYKM,medium_airport,Kerema Airport,-7.96361017227,145.770996094,10.0,OC,PG,PG-GPK,Kerema,yes,AYKM,KMA,AYKM,,,https://en.wikipedia.org/wiki/Kerema_Airport,
61,AYKV,medium_airport,Kavieng Airport,-2.57940006256,150.807998657,7.0,OC,PG,PG-NIK,Kavieng,yes,AYKV,KVG,AYKV,,,https://en.wikipedia.org/wiki/Kavieng_Airport,
62,AYMD,medium_airport,Madang Airport,-5.20707988739,145.789001465,20.0,OC,PG,PG-MPM,Madang,yes,AYMD,MAG,AYMD,,,https://en.wikipedia.org/wiki/Madang_Airport,
63,AYMH,medium_airport,Mount Hagen Kagamuga Airport,-5.828212,144.299412,5388.0,OC,PG,PG-WHM,Mount Hagen,yes,AYMH,HGU,AYMH,,,https://en.wikipedia.org/wiki/Mount_Hagen_Airport,
64,AYMN,medium_airport,Mendi Airport,-6.14774,143.656998,5680.0,OC,PG,PG-SHM,Mendi,yes,AYMN,MDU,AYMN,,,https://en.wikipedia.org/wiki/Mendi_Airport,
65,AYMO,medium_airport,Momote Airport,-2.06189,147.423996,12.0,OC,PG,PG-MRL,Manus Island,yes,AYMO,MAS,AYMO,,,https://en.wikipedia.org/wiki/Momote_Airport,
66,AYNZ,medium_airport,Nadzab Airport,-6.569803,146.725977,239.0,OC,PG,PG-MPL,Lae,yes,AYNZ,LAE,AYNZ,,,https://en.wikipedia.org/wiki/Lae_Nadzab_Airport,MFO
67,AYPY,large_airport,Port Moresby Jacksons International Airport,-9.44338035583496,147.22000122070312,146.0,OC,PG,PG-NCD,Port Moresby,yes,AYPY,POM,AYPY,,,https://en.wikipedia.org/wiki/Jacksons_International_Airport,
68,AYTK,medium_airport,Tokua Airport,-4.34046,152.380005,49.0,OC,PG,PG-EBR,Kokopo,yes,AYTK,RAB,AYTK,,,https://en.wikipedia.org/wiki/Rabaul_Airport,
69,AYVN,medium_airport,Vanimo Airport,-2.6926,141.3028,10.0,OC,PG,PG-SAN,Vanimo,yes,AYVN,VAI,AYVN,,,https://en.wikipedia.org/wiki/Vanimo_Airport,
70,AYWD,medium_airport,Wapenamanda Airport,-5.635293,143.892231,5889.0,OC,PG,PG-EPW,Wapenamanda,yes,AYWD,WBM,AYWD,,,https://en.wikipedia.org/wiki/Wapenamanda_Airport,
71,AYWK,medium_airport,Wewak International Airport,-3.58383011818,143.669006348,19.0,OC,PG,PG-ESW,Wewak,yes,AYWK,WWK,AYWK,,,https://en.wikipedia.org/wiki/Wewak_International_Airport,
44941,AZ-0001,medium_airport,Zabrat Airport,40.494884,49.977065,36.0,AS,AZ,AZ-BA,Zabrat,no,,ZXT,UBTT,,,https://en.wikipedia.org/wiki/Zabrat_Airport,
44954,AZ-0013,medium_airport,Sitalchay Airbase,40.807313,49.431481,-46.0,AS,AZ,AZ-XIZ,Sitalchay,no,,,,,,,
